1 5.249 1.241
3 16.42 1.698
5 40.419 2.328
7 85.542 3.085
9 162.579 4.268
11 NA 5.754
13 NA 7.718
15 NA 10.241
17 NA 13.509
19 NA 17.17
21 NA 22.607
23 NA 28.398
25 NA 36.97
27 NA 45.877
29 NA 56.924
31 NA 71.064
33 NA 86.702
35 NA 105.363
37 NA 130.31
39 NA 154.576
